YEAR 2017 2016 2015 2014 2013 2012 2011 2010 2009 2008 2007
TOTAL 20,893 20,672 20,976 21,186 23,216 25,473 24,764 28,123 28,721 29,613 30,859
RESIDENT 19,615 19,543 19,765 20,018 22,011 24,080 23,250 26,322 26,955 27,672 28,921
